gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2246350691	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:74746894	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Hartsö naturreservat, Srm	Södermanland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.69212	17.53904	5.0						2015-08-19	19	8	2015	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	74746894				CC0_1_0	Länsstyrelsen Södermanland	Jonas Edlund, Eva Siljeholm			2025-07-19T13:58:16.242Z		
2246350678	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:74745492	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Hartsö naturreservat, Srm	Södermanland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.68854	17.48138	5.0						2015-08-05	5	8	2015	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	74745492				CC0_1_0	Länsstyrelsen Södermanland	Jonas Edlund, Eva Siljeholm			2025-07-19T14:17:30.459Z		
2246350643	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:74745386	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Hartsö naturreservat, Srm	Södermanland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.6952	17.49037	5.0						2015-08-05	5	8	2015	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	74745386				CC0_1_0	Länsstyrelsen Södermanland	Jonas Edlund, Eva Siljeholm			2025-07-19T13:54:54.212Z		
2246350602	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:74745216	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Hartsö naturreservat, Srm	Södermanland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.68865	17.50051	5.0						2015-08-06	6	8	2015	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	74745216				CC0_1_0	Länsstyrelsen Södermanland	Jonas Edlund, Eva Siljeholm			2025-07-19T14:07:37.249Z		
2246350589	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:74745649	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Ringsö naturreservat, Srm	Södermanland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.72321	17.46148	5.0						2015-08-01	1	8	2015	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	74745649				CC0_1_0	Länsstyrelsen Södermanland	Jonas Edlund, Eva Siljeholm			2025-07-19T14:12:50.195Z		
2246350573	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:74744279	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Hartsö naturreservat, Srm	Södermanland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.71667	17.50291	5.0						2015-08-09	9	8	2015	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	74744279				CC0_1_0	Länsstyrelsen Södermanland	Jonas Edlund, Eva Siljeholm			2025-07-19T14:13:32.006Z		
2246350554	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:74745429	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Hartsö naturreservat, Srm	Södermanland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.69265	17.49318	5.0						2015-08-05	5	8	2015	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	74745429				CC0_1_0	Länsstyrelsen Södermanland	Jonas Edlund, Eva Siljeholm			2025-07-19T14:10:22.602Z		
2246350550	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:74744976	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Hartsö naturreservat, Srm	Södermanland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.6923	17.51662	5.0						2015-08-07	7	8	2015	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	74744976				CC0_1_0	Länsstyrelsen Södermanland	Jonas Edlund, Eva Siljeholm			2025-07-19T14:13:17.598Z		
2246350546	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:74744422	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Hartsö naturreservat, Srm	Södermanland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.72001	17.49682	5.0						2015-08-08	8	8	2015	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	74744422				CC0_1_0	Länsstyrelsen Södermanland	Jonas Edlund, Eva Siljeholm			2025-07-19T14:07:58.763Z		
2246350539	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:74745138	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Hartsö naturreservat, Srm	Södermanland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.69015	17.51094	5.0						2015-08-06	6	8	2015	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	74745138				CC0_1_0	Länsstyrelsen Södermanland	Jonas Edlund, Eva Siljeholm			2025-07-19T14:11:05.216Z		
2246350531	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:74745424	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Hartsö naturreservat, Srm	Södermanland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.69279	17.48704	5.0						2015-08-05	5	8	2015	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	74745424				CC0_1_0	Länsstyrelsen Södermanland	Jonas Edlund, Eva Siljeholm			2025-07-19T14:08:11.704Z		
2246350521	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:74744865	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Hartsö naturreservat, Srm	Södermanland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.69657	17.51382	5.0						2015-08-07	7	8	2015	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	74744865				CC0_1_0	Länsstyrelsen Södermanland	Jonas Edlund, Eva Siljeholm			2025-07-19T14:14:37.345Z		
2246350513	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:74744301	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Hartsö naturreservat, Srm	Södermanland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.71414	17.51136	5.0						2015-08-09	9	8	2015	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	74744301				CC0_1_0	Länsstyrelsen Södermanland	Jonas Edlund, Eva Siljeholm			2025-07-19T14:03:50.582Z		
2246350511	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:74744590	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Hartsö naturreservat, Srm	Södermanland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.71203	17.4982	5.0						2015-08-08	8	8	2015	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	74744590				CC0_1_0	Länsstyrelsen Södermanland	Jonas Edlund, Eva Siljeholm			2025-07-19T13:54:24.658Z		
2246350509	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:74744626	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Hartsö naturreservat, Srm	Södermanland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.71111	17.49398	5.0						2015-08-08	8	8	2015	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	74744626				CC0_1_0	Länsstyrelsen Södermanland	Jonas Edlund, Eva Siljeholm			2025-07-19T14:08:21.683Z		
2246350498	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:74744518	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Hartsö naturreservat, Srm	Södermanland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.71606	17.51126	5.0						2015-08-08	8	8	2015	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	74744518				CC0_1_0	Länsstyrelsen Södermanland	Jonas Edlund, Eva Siljeholm			2025-07-19T13:57:37.216Z		
2246350474	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:74744647	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Hartsö naturreservat, Srm	Södermanland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.71075	17.49343	5.0						2015-08-08	8	8	2015	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	74744647				CC0_1_0	Länsstyrelsen Södermanland	Jonas Edlund, Eva Siljeholm			2025-07-19T14:10:46.389Z		
2246350450	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:74744980	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Hartsö naturreservat, Srm	Södermanland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.69222	17.51436	5.0						2015-08-07	7	8	2015	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	74744980				CC0_1_0	Länsstyrelsen Södermanland	Jonas Edlund, Eva Siljeholm			2025-07-19T14:18:53.898Z		
2246350445	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:74745676	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Hartsö naturreservat, Srm	Södermanland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.69871	17.47022	5.0						2015-08-01	1	8	2015	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	74745676				CC0_1_0	Länsstyrelsen Södermanland	Jonas Edlund, Eva Siljeholm			2025-07-19T13:56:40.423Z		
2246350444	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:74744804	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Hartsö naturreservat, Srm	Södermanland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.69895	17.50503	5.0						2015-08-07	7	8	2015	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	74744804				CC0_1_0	Länsstyrelsen Södermanland	Jonas Edlund, Eva Siljeholm			2025-07-19T14:05:13.156Z		
2246350440	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:74745283	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Hartsö naturreservat, Srm	Södermanland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.68733	17.51008	5.0						2015-08-06	6	8	2015	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	74745283				CC0_1_0	Länsstyrelsen Södermanland	Jonas Edlund, Eva Siljeholm			2025-07-19T13:54:24.661Z		
2246350398	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:74744416	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Hartsö naturreservat, Srm	Södermanland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.72022	17.49778	5.0						2015-08-08	8	8	2015	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	74744416				CC0_1_0	Länsstyrelsen Södermanland	Jonas Edlund, Eva Siljeholm			2025-07-19T14:08:30.506Z		
